run_id,protocol,model,year,support,observations,unique_target_months,folds,support_start,support_end,mae,rmse,mape_pct,smape_pct,wape_pct,bias_forecast_minus_actual,r2,interval_95_observations,interval_95_coverage,interval_95_mean_width,interval_95_median_width,interval_95_winkler
run_20260811T162732Z_6bbfe89e,fixed_origin_12m_ex_ante,sarima_111_111_12,2025,model_full_evaluable_support,12,12,1,2025-01-01,2025-12-01,312054.5851301513,396451.4427533985,8.032352852859146,7.456318258835098,5.858616237834569,289720.1569314617,0.9604295789602451,12,1.0,7441210.759443368,7452115.072628811,7441210.759443368
run_20260811T162732Z_6bbfe89e,fixed_origin_12m_ex_ante,seasonal_moving_average_3,2015,model_full_evaluable_support,12,12,1,2015-01-01,2015-12-01,240853.66666666672,294741.9601533782,7.806491906918678,8.2253332342751,6.944775267903328,-240853.66666666672,0.9684115483866188,12,0.9166666666666666,950508.4383307063,950508.4383307062,1881354.3744461958
run_20260811T162732Z_6bbfe89e,fixed_origin_12m_ex_ante,seasonal_moving_average_3,2016,model_full_evaluable_support,12,12,1,2016-01-01,2016-12-01,779829.0277777776,1028594.0901559606,24.800525969263497,20.84917827324129,29.83532655861296,760291.75,-0.12585961562807868,12,0.4166666666666667,913424.6866835285,913424.6866835288,19775740.008709032
run_20260811T162732Z_6bbfe89e,fixed_origin_12m_ex_ante,seasonal_moving_average_3,2017,model_full_evaluable_support,12,12,1,2017-01-01,2017-12-01,255885.66666666672,287715.1032431279,8.224135138419562,8.26214920878712,7.950803756372258,-11033.27777777779,0.9655012416844232,12,1.0,1800839.4337085572,1800839.4337085579,1800839.4337085572
run_20260811T162732Z_6bbfe89e,fixed_origin_12m_ex_ante,seasonal_moving_average_3,2018,model_full_evaluable_support,12,12,1,2018-01-01,2018-12-01,700931.8333333334,766055.6458674816,18.49204993370989,20.40412421934087,18.433982981841638,-700931.8333333334,0.7968061596570527,12,0.6666666666666666,1793618.590839454,1793618.590839454,4229075.763020864
run_20260811T162732Z_6bbfe89e,fixed_origin_12m_ex_ante,seasonal_moving_average_3,2019,model_full_evaluable_support,12,12,1,2019-01-01,2019-12-01,1152914.0277777778,1309994.5242158703,25.555925130377073,29.44802642606588,26.677510853796324,-1152914.0277777778,0.5752616313377816,12,0.5,1855947.6946498828,1855947.694649883,17329066.303706612
run_20260811T162732Z_6bbfe89e,fixed_origin_12m_ex_ante,seasonal_moving_average_3,2020,model_full_evaluable_support,9,9,1,2020-01-01,2020-12-01,2119796.9629629627,2750918.16576996,155.8232019387658,69.65048495306127,120.54752944672272,1918319.6296296294,-14.760267083368381,9,0.4444444444444444,2183034.079132069,2183034.079132069,49768175.42210909
run_20260811T162732Z_6bbfe89e,fixed_origin_12m_ex_ante,seasonal_moving_average_3,2021,model_full_evaluable_support,12,12,1,2021-01-01,2021-12-01,1049228.25,1345136.9559661564,84.59935278934479,47.637159940215554,42.88769434879301,1049228.25,0.2820051985452815,12,0.8333333333333334,3520809.530588936,3520809.530588936,9138575.539736928
run_20260811T162732Z_6bbfe89e,fixed_origin_12m_ex_ante,seasonal_moving_average_3,2022,model_full_evaluable_support,12,12,1,2022-01-01,2022-12-01,1260935.7222222222,1494707.0967071701,27.351374958712704,32.246298585403274,29.4559395690809,-1260935.7222222222,0.4167589286401636,12,0.75,3851530.18145223,3851530.1814522306,9197868.163079962
run_20260811T162732Z_6bbfe89e,fixed_origin_12m_ex_ante,seasonal_moving_average_3,2023,model_full_evaluable_support,12,12,1,2023-01-01,2023-12-01,1751499.6944444447,1935117.5460235903,36.562612482312716,45.00335117262467,36.823649942201044,-1751499.6944444447,0.03207342099862753,12,0.6666666666666666,3965123.62141381,3965123.6214138092,14524879.478655076
run_20260811T162732Z_6bbfe89e,fixed_origin_12m_ex_ante,seasonal_moving_average_3,2024,model_full_evaluable_support,12,12,1,2024-01-01,2024-12-01,1577301.7499999998,1655761.245027699,32.880523996753446,40.01688266168025,30.414392993417074,-1577301.7499999998,0.28738736917455787,12,0.75,4240860.749117508,4240860.749117507,6705324.78130775
run_20260811T162732Z_6bbfe89e,fixed_origin_12m_ex_ante,seasonal_moving_average_3,2025,model_full_evaluable_support,12,12,1,2025-01-01,2025-12-01,720556.6666666669,802212.752824452,14.854757336327495,16.376282689694133,13.527969748794442,-720556.6666666669,0.837979566664718,12,1.0,4302804.568966712,4302804.568966712,4302804.568966712
run_20260811T162732Z_6bbfe89e,fixed_origin_12m_ex_ante,seasonal_naive,2015,model_full_evaluable_support,12,12,1,2015-01-01,2015-12-01,119598.66666666667,138996.07631932158,4.106966983775124,4.2202384969485065,3.4485082740732507,-61276.333333333336,0.9929749489385427,12,1.0,1776724.1887755499,1857055.6135609476,1776724.1887755499
run_20260811T162732Z_6bbfe89e,fixed_origin_12m_ex_ante,seasonal_naive,2016,model_full_evaluable_support,12,12,1,2016-01-01,2016-12-01,869815.75,1130977.8862134088,27.959827801418964,23.301524772991357,33.27811099956898,869815.75,-0.3611450827052556,12,0.5833333333333334,1726226.2345086026,1804274.4840883948,12941507.078423975
